driverId,avg_race_pos,avg_sprint_pos,avg_lap_time,points,avg_qual_pos,forename,surname
1,5.019662921348314,6.777777777777778,96.75270828201212,223.0,4.073033707865169,Lewis,Hamilton
4,8.492574257425742,13.277777777777779,96.20860932704201,70.0,8.13953488372093,Fernando,Alonso
842,11.25974025974026,11.555555555555555,96.09006466763006,42.0,11.15032679738562,Pierre,Gasly
807,11.92608695652174,13.916666666666666,98.35689779424146,41.0,10.65065502183406,Nico,Hülkenberg
815,9.332155477031803,8.055555555555555,98.00926350784326,152.0,9.900709219858156,Sergio,Pérez
817,10.206225680933851,9.083333333333334,98.22758247823934,12.0,9.79296875,Daniel,Ricciardo
822,8.96761133603239,12.333333333333334,97.3188505158358,0.0,7.846153846153846,Valtteri,Bottas
825,13.56989247311828,11.714285714285714,96.987918989899,16.0,13.45945945945946,Kevin,Magnussen
830,5.645933014354067,2.0,95.69398842551688,437.0,4.7272727272727275,Max,Verstappen
832,9.274038461538462,4.888888888888889,96.4193441856282,290.0,8.51207729468599,Carlos,Sainz
839,11.224358974358974,12.666666666666666,97.02913959666708,23.0,11.593548387096774,Esteban,Ocon
840,12.369047619047619,13.222222222222221,95.92282069728833,24.0,14.023809523809524,Lance,Stroll
844,7.557046979865772,5.055555555555555,95.58453921815888,356.0,6.208053691275167,Charles,Leclerc
846,7.8515625,6.333333333333333,96.42962864576201,374.0,7.21875,Lando,Norris
847,10.53125,7.277777777777778,95.36281379406827,245.0,10.328125,George,Russell
848,11.914285714285715,13.866666666666667,94.918974409099,12.0,11.961538461538462,Alexander,Albon
852,13.522222222222222,14.166666666666666,98.71104211663067,30.0,12.744444444444444,Yuki,Tsunoda
855,14.647058823529411,15.8,96.46895998903808,4.0,16.191176470588236,Guanyu,Zhou
857,7.891304347826087,6.0,96.40215100798783,292.0,7.543478260869565,Oscar,Piastri
858,16.333333333333332,17.333333333333332,97.03400523286237,0.0,17.38888888888889,Logan,Sargeant
859,12.909090909090908,15.25,100.86263538461539,4.0,13.363636363636363,Liam,Lawson
860,9.666666666666666,14.0,107.22706470588234,7.0,13.0,Oliver,Bearman
861,13.555555555555555,14.0,96.5571410579345,5.0,15.777777777777779,Franco,Colapinto
862,15.0,1.0,91.57624561403507,0.0,20.0,Jack,Doohan
